"","caseid","region","gender","educ","edloan","race","hispanic","employ","marstat","pid7","ideo5","pew_religimp","newsint","faminc_new","union","investor","CC18_308a","CC18_310a","CC18_310b","CC18_310c","CC18_310d","CC18_325a","CC18_325b","CC18_325c","CC18_325d","educ_category","dem_rep"
"648",418252030,1,1,6,2,1,2,1,1,1,1,4,1,10,1,1,4,3,3,3,3,2,2,2,1,"4-yr-Degree +","Democrat"
"649",410692096,1,2,3,1,1,2,2,5,7,5,1,1,5,3,2,1,3,3,2,3,1,1,1,1,"< 4-yr-Degree","Republican"
"650",412003389,3,2,5,2,7,2,5,4,1,1,3,1,10,1,1,4,2,2,2,2,2,2,2,1,"4-yr-Degree +","Democrat"
"651",417081402,1,1,4,2,1,2,5,1,1,1,4,1,12,2,1,4,3,3,2,2,2,2,2,1,"<4-yr-Degree","Democrat"
"652",417836401,2,1,3,2,1,2,5,3,5,3,2,1,2,3,1,1,2,3,3,3,1,2,2,1,"< 4-yr-Degree","Republican"
"653",410922896,2,1,6,2,1,2,5,1,1,1,4,1,9,1,1,4,2,2,2,2,2,2,2,2,"4-yr-Degree +","Democrat"
"654",412262917,4,1,5,1,1,2,1,1,5,5,1,2,3,3,2,2,2,2,2,2,1,2,2,2,"4-yr-Degree +","Republican"
"655",413610200,2,2,5,NA,1,2,1,5,1,1,4,1,6,1,1,4,2,2,3,3,2,1,2,1,"4-yr-Degree +","Democrat"
"656",412275885,2,1,5,2,1,2,1,1,5,5,1,1,11,3,1,1,2,2,3,3,1,2,2,1,"4-yr-Degree +","Republican"
"657",412299630,1,1,6,2,1,2,5,5,4,4,4,1,8,3,1,2,3,3,3,2,1,1,1,1,"4-yr-Degree +","Independent"
"658",414451062,4,1,3,2,3,2,5,3,5,4,2,2,4,1,1,2,2,2,2,2,1,1,1,1,"< 4-yr-Degree","Republican"
"659",416547815,1,2,5,1,1,1,1,1,2,3,1,1,11,1,1,2,3,3,5,5,1,1,1,2,"4-yr-Degree +","Democrat"
"660",415611704,4,2,5,2,4,2,1,1,1,4,2,4,7,1,1,4,3,5,3,3,2,1,1,2,"4-yr-Degree +","Democrat"
"661",412291429,4,2,3,2,1,2,5,1,5,3,1,1,7,3,2,1,5,5,3,2,1,1,1,1,"< 4-yr-Degree","Republican"
"662",414368413,3,2,5,1,2,2,1,5,1,2,3,1,5,3,2,4,2,3,2,3,2,2,2,2,"4-yr-Degree +","Democrat"
"663",410944680,3,1,5,2,1,2,5,1,7,4,1,1,8,3,1,1,2,2,2,2,1,1,1,2,"4-yr-Degree +","Republican"
"664",413095128,3,1,5,2,2,2,9,1,1,2,1,1,6,3,2,4,3,2,2,3,2,1,1,1,"4-yr-Degree +","Democrat"
"665",417841135,3,2,2,1,1,2,7,1,4,3,1,4,5,3,2,2,2,2,2,2,2,2,1,2,"< 4-yr-Degree","Independent"
"666",413510145,1,2,1,2,1,2,2,5,1,1,4,2,11,3,2,4,3,5,3,1,1,1,2,2,"< 4-yr-Degree","Democrat"
"667",411994727,3,1,5,2,1,2,5,1,3,3,3,1,4,3,2,4,2,3,2,2,2,1,1,1,"4-yr-Degree +","Democrat"
"668",412916702,1,2,3,1,1,2,4,1,1,2,1,1,4,3,2,4,1,2,5,3,2,2,1,2,"< 4-yr-Degree","Democrat"
"669",418063607,3,1,6,2,1,2,5,1,6,5,3,1,12,3,1,1,2,2,2,2,1,2,1,1,"4-yr-Degree +","Republican"
"670",410909264,3,2,3,2,1,2,7,1,4,3,2,3,4,3,2,3,2,2,2,2,2,1,2,2,"< 4-yr-Degree","Independent"
"671",415285663,2,2,3,2,1,2,7,5,6,5,1,2,3,3,2,2,2,5,3,5,1,1,1,1,"< 4-yr-Degree","Republican"
"672",414253039,3,2,2,2,1,2,5,3,1,2,1,2,5,3,2,4,2,3,2,5,2,2,1,1,"< 4-yr-Degree","Democrat"
"673",417178263,2,2,2,2,1,2,7,1,7,5,1,1,3,2,2,1,2,3,5,2,1,2,2,1,"< 4-yr-Degree","Republican"
"674",412982476,1,1,5,2,1,2,1,5,1,1,4,1,5,1,2,4,3,3,3,2,2,2,2,2,"4-yr-Degree +","Democrat"
"675",415789775,4,2,3,2,6,1,1,6,4,3,1,2,9,3,2,4,3,3,3,5,2,2,1,1,"< 4-yr-Degree","Independent"
"676",415422046,1,1,3,2,1,2,5,1,7,4,4,1,1,1,2,1,3,3,3,NA,1,1,1,1,"< 4-yr-Degree","Republican"
"677",415711884,2,2,5,2,1,2,1,1,1,2,1,1,8,3,1,4,2,2,3,3,2,1,2,2,"4-yr-Degree +","Democrat"
"678",412406086,3,2,2,2,1,2,5,1,7,5,1,2,5,3,2,1,2,2,2,2,1,1,1,1,"< 4-yr-Degree","Republican"
"679",412387309,1,2,3,1,1,2,5,4,1,2,3,1,8,1,1,4,3,3,3,2,2,1,1,1,"< 4-yr-Degree","Democrat"
"680",413013793,3,2,2,2,1,2,1,1,3,1,2,1,5,3,2,4,2,3,2,3,2,1,2,1,"< 4-yr-Degree","Democrat"
"681",410765985,3,2,5,1,2,2,1,1,1,3,2,2,9,3,1,4,1,1,1,1,2,1,2,1,"4-yr-Degree +","Democrat"
"682",420153324,1,2,3,2,1,2,1,5,6,3,2,1,7,3,1,1,3,3,2,3,1,1,1,1,"< 4-yr-Degree","Republican"
"683",417570867,1,1,5,2,1,2,1,5,1,1,4,1,10,3,1,4,2,5,3,3,2,1,1,1,"4-yr-Degree +","Democrat"
"684",416686618,4,2,5,1,1,2,1,1,1,3,4,3,10,3,2,4,2,2,2,2,1,1,1,1,"4-yr-Degree +","Democrat"
"685",416395512,1,1,3,1,2,2,1,1,2,3,3,2,9,2,1,4,3,3,5,3,2,1,1,1,"< 4-yr-Degree","Democrat"
"686",417077665,3,1,3,2,3,2,1,1,6,4,1,1,8,2,1,3,2,2,2,2,1,2,1,1,"< 4-yr-Degree","Republican"
"687",412979463,3,2,6,1,2,2,1,6,2,3,1,4,7,3,1,4,3,2,2,2,2,2,2,2,"4-yr-Degree +","Democrat"
"688",415213627,4,2,5,1,1,2,1,5,1,1,4,1,5,3,1,4,3,3,3,2,2,1,1,1,"4-yr-Degree +","Democrat"
"689",411891143,4,1,5,2,7,2,1,5,4,3,1,1,6,3,1,1,3,3,3,3,1,1,2,1,"4-yr-Degree +","Independent"
"690",415208515,2,2,5,1,1,2,1,6,1,2,4,2,5,3,1,4,3,3,3,3,2,2,2,2,"4-yr-Degree +","Democrat"
"691",413059111,1,2,6,1,1,2,2,1,1,1,2,2,11,2,1,4,3,3,2,2,2,2,2,2,"4-yr-Degree +","Democrat"
"692",414507543,1,2,2,NA,1,2,4,5,1,1,4,1,5,3,2,4,3,3,3,1,1,1,1,2,"< 4-yr-Degree","Democrat"
"693",412348722,1,2,5,1,1,2,1,1,6,3,3,1,12,3,2,4,3,3,3,3,2,1,1,1,"4-yr-Degree +","Republican"
"694",412903375,3,2,3,2,1,2,8,5,1,2,4,1,11,3,2,4,2,3,3,3,2,1,2,1,"< 4-yr-Degree","Democrat"
"695",412871676,2,1,5,2,1,2,1,1,6,3,4,1,9,1,1,4,2,2,2,2,2,1,2,1,"4-yr-Degree +","Republican"
"696",412282571,3,1,2,2,1,2,5,3,7,5,1,1,4,1,2,1,2,3,2,2,1,1,2,1,"< 4-yr-Degree","Republican"
"697",412976130,1,1,2,2,1,2,5,1,5,4,2,1,6,2,1,1,2,3,3,3,1,1,1,1,"< 4-yr-Degree","Republican"
"698",413002748,3,1,3,2,2,2,2,1,1,2,3,2,3,3,2,4,2,2,2,3,2,1,2,2,"< 4-yr-Degree","Democrat"
"699",419490444,2,1,5,1,3,2,1,1,3,3,4,2,11,3,2,4,2,3,3,3,2,2,2,1,"4-yr-Degree +","Democrat"
"700",415194247,1,2,2,NA,1,2,7,1,4,3,2,2,8,3,1,4,3,3,2,NA,2,1,2,1,"< 4-yr-Degree","Independent"
"701",414342125,3,2,6,2,1,2,2,5,1,1,4,1,2,3,2,4,2,2,4,2,2,2,1,1,"4-yr-Degree +","Democrat"
"702",415008634,3,2,2,NA,1,2,7,1,7,5,2,1,8,3,2,1,3,3,2,2,2,1,1,1,"< 4-yr-Degree","Republican"
"703",410920518,3,1,6,2,1,2,1,1,7,4,1,1,14,2,1,1,2,2,2,NA,1,1,1,1,"4-yr-Degree +","Republican"
"704",412984256,3,2,5,2,1,2,1,1,6,2,1,3,7,3,1,3,2,2,5,2,2,1,1,1,"4-yr-Degree +","Republican"
